name,sku,unitOfMeasure,defaultThreshold
Organic Basmati Rice 5kg,EKO-001,bags,100
Whole Wheat Flour 2kg,EKO-002,bags,150
Cold-Pressed Coconut Oil 1L,EKO-003,bottles,80
Raw Wildflower Honey 500g,EKO-004,jars,60
Oat Granola Cereal 800g,EKO-005,boxes,75
Almond Milk 1L,EKO-006,cartons,90
Extra Virgin Olive Oil 750ml,EKO-007,bottles,70
Organic Green Tea 50 Bags,EKO-008,boxes,120
Chia Seeds 400g,EKO-009,pouches,85
Quinoa Grain 1kg,EKO-010,bags,65
Dried Mango Slices 250g,EKO-011,pouches,100
Mixed Nuts & Seeds 500g,EKO-012,pouches,80
Organic Apple Cider Vinegar 500ml,EKO-013,bottles,55
Brown Rice Cakes 150g,EKO-014,packs,90
Coconut Sugar 500g,EKO-015,pouches,70
Lentil Soup Mix 1kg,EKO-016,bags,60
Sunflower Seeds 300g,EKO-017,pouches,95
Organic Tomato Paste 400g,EKO-018,cans,110
Dried Chickpeas 1kg,EKO-019,bags,75
Moringa Leaf Powder 200g,EKO-020,pouches,50
